set_id,family,subfamily,interpretation_layer,n_raw,n_present,broad_set_flag
atomic__hspc_lsc_stemness__hsc_mpp_lsc__boquest_stem_cell_cultured_vs_fresh_dn,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,31,31,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__boquest_stem_cell_cultured_vs_fresh_up,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,423,418,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__boquest_stem_cell_dn,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,218,214,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__boquest_stem_cell_up,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,261,259,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__bystrykh_hematopoiesis_stem_cell_and_brain_qtl_cis,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,69,66,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__bystrykh_hematopoiesis_stem_cell_and_brain_qtl_trans,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,155,154,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__bystrykh_hematopoiesis_stem_cell_qtl_cis,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,134,128,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__bystrykh_hematopoiesis_stem_cell_qtl_trans,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,784,769,broad_gt_750
atomic__hspc_lsc_stemness__hsc_mpp_lsc__bystrykh_hematopoiesis_stem_cell_scp2_qtl_trans,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,26,26,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__conrad_germline_stem_cell,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,13,13,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__conrad_stem_cell,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,39,39,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__desert_stem_cell_hepatocellular_carcinoma_subclass_up,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,242,238,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__engelmann_cancer_progenitors_dn,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,69,68,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__engelmann_cancer_progenitors_up,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,48,47,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__eppert_ce_hsc_lsc,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,41,40,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__eppert_hsc_r,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,127,118,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__eppert_progenitor,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,137,133,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__gal_leukemic_stem_cell_dn,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,235,231,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__gal_leukemic_stem_cell_up,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,129,125,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__gazda_diamond_blackfan_anemia_progenitor_dn,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,66,65,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__gazda_diamond_blackfan_anemia_progenitor_up,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,39,39,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__gentles_leukemic_stem_cell_dn,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,19,19,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__gentles_leukemic_stem_cell_up,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,29,29,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__haddad_b_lymphocyte_progenitor,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,289,271,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__haddad_t_lymphocyte_and_nk_progenitor_dn,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,64,64,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__haddad_t_lymphocyte_and_nk_progenitor_up,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,81,80,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__harris_brain_cancer_progenitors,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,43,43,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__hoebeke_lymphoid_stem_cell_dn,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,87,87,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__hoebeke_lymphoid_stem_cell_up,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,98,97,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__ivanova_hematopoiesis_early_progenitor,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,446,428,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__ivanova_hematopoiesis_intermediate_progenitor,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,135,131,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__ivanova_hematopoiesis_late_progenitor,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,510,495,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__ivanova_hematopoiesis_stem_cell,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,192,188,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__ivanova_hematopoiesis_stem_cell_and_progenitor,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,558,541,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__ivanova_hematopoiesis_stem_cell_long_term,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,218,212,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__ivanova_hematopoiesis_stem_cell_short_term,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,22,21,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__izadpanah_stem_cell_adipose_vs_bone_dn,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,105,103,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__izadpanah_stem_cell_adipose_vs_bone_up,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,127,125,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__jaatinen_hematopoietic_stem_cell_dn,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,234,231,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__jaatinen_hematopoietic_stem_cell_up,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,323,311,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__jinesh_blebbishield_transformed_stem_cell_spheres_dn,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,302,272,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__jinesh_blebbishield_transformed_stem_cell_spheres_up,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,170,168,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__lee_intrathymic_t_progenitor,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,20,20,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__lee_neural_crest_stem_cell_dn,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,119,119,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__lee_neural_crest_stem_cell_up,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,145,144,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__liang_hematopoiesis_stem_cell_number_large_vs_tiny_dn,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,43,42,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__liang_hematopoiesis_stem_cell_number_large_vs_tiny_up,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,41,40,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__liang_hematopoiesis_stem_cell_number_qtl,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,16,16,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__liang_hematopoiesis_stem_cell_number_small_vs_huge_dn,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,33,32,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__liang_hematopoiesis_stem_cell_number_small_vs_huge_up,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,39,38,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__lim_mammary_luminal_progenitor_dn,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,14,14,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__lim_mammary_luminal_progenitor_up,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,58,58,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__lim_mammary_stem_cell_dn,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,416,409,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__lim_mammary_stem_cell_up,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,479,470,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__mebarki_hcc_progenitor_fzd8crd_dn,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,458,429,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__mebarki_hcc_progenitor_fzd8crd_up,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,590,537,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__mebarki_hcc_progenitor_wnt_dn,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,92,88,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__mebarki_hcc_progenitor_wnt_dn_blocked_by_fzd8crd,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,70,66,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__mebarki_hcc_progenitor_wnt_dn_ctnnb1_dependent,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,31,31,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__mebarki_hcc_progenitor_wnt_dn_ctnnb1_dependent_blocked_by_fzd8crd,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,22,21,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__mebarki_hcc_progenitor_wnt_dn_ctnnb1_independent,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,16,15,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__mebarki_hcc_progenitor_wnt_up,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,204,192,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__mebarki_hcc_progenitor_wnt_up_blocked_by_fzd8crd,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,126,123,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__mebarki_hcc_progenitor_wnt_up_ctnnb1_dependent,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,91,86,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__mebarki_hcc_progenitor_wnt_up_ctnnb1_dependent_blocked_by_fzd8crd,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,48,48,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__mebarki_hcc_progenitor_wnt_up_ctnnb1_independent,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,24,23,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__oishi_cholangioma_stem_cell_like_dn,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,274,270,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__oishi_cholangioma_stem_cell_like_up,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,344,339,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__oswald_hematopoietic_stem_cell_in_collagen_gel_dn,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,280,266,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__oswald_hematopoietic_stem_cell_in_collagen_gel_up,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,224,219,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__park_hsc_and_multipotent_progenitors,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,45,44,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__park_hsc_markers,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,44,44,
atomic__hspc_lsc_stemness__hsc_mpp_lsc__park_hsc_vs_multipotent_progenitors_dn,hspc_lsc_stemness,hsc_mpp_lsc,cell_state,15,15,
core_anchor__hspc_lsc_stemness__core_hsc_mpp_lsc__expert_curated,hspc_lsc_stemness,core_hsc_mpp_lsc,core_anchor,15,15,
family_union__hspc_lsc_stemness__all__selected_atomic_sets,hspc_lsc_stemness,all,family_union,7467,7179,very_broad_gt_1000
family_union__hspc_lsc_stemness__hsc_mpp_lsc__selected_atomic_sets,hspc_lsc_stemness,hsc_mpp_lsc,family_union,7467,7179,very_broad_gt_1000
core_anchor__ifng_decomposed_response__core_ifng_ligand_receptor_s_8a4bc4a8__expert_curated,ifng_decomposed_response,core_ifng_ligand_receptor_stat_irf_output_feedback,core_anchor,25,25,
atomic__ifng_decomposed_response__ifng_chemokine_output__gobp_chemokine_c_c_motif_ligand_5_production,ifng_decomposed_response,ifng_chemokine_output,effector,12,12,
atomic__ifng_decomposed_response__ifng_chemokine_output__gobp_chemokine_c_x_c_motif_ligand_2_production,ifng_decomposed_response,ifng_chemokine_output,effector,19,17,
atomic__ifng_decomposed_response__ifng_chemokine_output__gobp_chemokine_production,ifng_decomposed_response,ifng_chemokine_output,effector,105,95,
atomic__ifng_decomposed_response__ifng_chemokine_output__gobp_negative_regulation_of_chemokine_production,ifng_decomposed_response,ifng_chemokine_output,effector,32,23,
atomic__ifng_decomposed_response__ifng_chemokine_output__gobp_positive_regulation_of_chemokine_c_x_c_motif_ligand_2_production,ifng_decomposed_response,ifng_chemokine_output,effector,10,10,
atomic__ifng_decomposed_response__ifng_chemokine_output__gobp_positive_regulation_of_chemokine_production,ifng_decomposed_response,ifng_chemokine_output,effector,72,71,
atomic__ifng_decomposed_response__ifng_chemokine_output__gobp_regulation_of_chemokine_mediated_signaling_pathway,ifng_decomposed_response,ifng_chemokine_output,effector,12,10,
atomic__ifng_decomposed_response__ifng_chemokine_output__gobp_response_to_chemokine,ifng_decomposed_response,ifng_chemokine_output,effector,98,94,
family_union__ifng_decomposed_response__all__selected_atomic_sets,ifng_decomposed_response,all,family_union,10461,9701,very_broad_gt_1000
family_union__ifng_decomposed_response__ifng_chemokine_output__selected_atomic_sets,ifng_decomposed_response,ifng_chemokine_output,family_union,199,185,
family_union__ifng_decomposed_response__ifng_feedback__selected_atomic_sets,ifng_decomposed_response,ifng_feedback,family_union,3229,3169,very_broad_gt_1000
family_union__ifng_decomposed_response__ifng_stat_irf_targets__selected_atomic_sets,ifng_decomposed_response,ifng_stat_irf_targets,family_union,9197,8481,very_broad_gt_1000
atomic__ifng_decomposed_response__ifng_feedback__gobp_negative_regulation_of_interferon_beta_production,ifng_decomposed_response,ifng_feedback,relay,17,16,
atomic__ifng_decomposed_response__ifng_feedback__gobp_negative_regulation_of_type_ii_interferon_production,ifng_decomposed_response,ifng_feedback,relay,46,44,
atomic__ifng_decomposed_response__ifng_feedback__gobp_negative_regulation_of_type_i_interferon_mediated_signaling_pathway,ifng_decomposed_response,ifng_feedback,relay,23,22,
atomic__ifng_decomposed_response__ifng_feedback__gobp_negative_regulation_of_type_i_interferon_production,ifng_decomposed_response,ifng_feedback,relay,53,51,
atomic__ifng_decomposed_response__ifng_feedback__gse369_pre_vs_post_il6_injection_socs3_ko_liver_dn,ifng_decomposed_response,ifng_feedback,relay,200,200,
atomic__ifng_decomposed_response__ifng_feedback__gse369_pre_vs_post_il6_injection_socs3_ko_liver_up,ifng_decomposed_response,ifng_feedback,relay,199,192,
atomic__ifng_decomposed_response__ifng_feedback__gse369_socs3_ko_vs_ifng_ko_liver_dn,ifng_decomposed_response,ifng_feedback,relay,199,194,
atomic__ifng_decomposed_response__ifng_feedback__gse369_socs3_ko_vs_ifng_ko_liver_up,ifng_decomposed_response,ifng_feedback,relay,199,193,
atomic__ifng_decomposed_response__ifng_feedback__gse369_socs3_ko_vs_wt_liver_dn,ifng_decomposed_response,ifng_feedback,relay,200,199,
atomic__ifng_decomposed_response__ifng_feedback__gse369_socs3_ko_vs_wt_liver_post_il6_injection_dn,ifng_decomposed_response,ifng_feedback,relay,200,196,
atomic__ifng_decomposed_response__ifng_feedback__gse369_socs3_ko_vs_wt_liver_post_il6_injection_up,ifng_decomposed_response,ifng_feedback,relay,197,195,
atomic__ifng_decomposed_response__ifng_feedback__gse369_socs3_ko_vs_wt_liver_up,ifng_decomposed_response,ifng_feedback,relay,199,194,
atomic__ifng_decomposed_response__ifng_feedback__gse411_100min_vs_400min_il6_stim_socs3_ko_macrophage_dn,ifng_decomposed_response,ifng_feedback,relay,200,195,
atomic__ifng_decomposed_response__ifng_feedback__gse411_100min_vs_400min_il6_stim_socs3_ko_macrophage_up,ifng_decomposed_response,ifng_feedback,relay,200,199,
atomic__ifng_decomposed_response__ifng_feedback__gse411_unstim_vs_100min_il6_stim_socs3_ko_macrophage_dn,ifng_decomposed_response,ifng_feedback,relay,200,196,
atomic__ifng_decomposed_response__ifng_feedback__gse411_unstim_vs_100min_il6_stim_socs3_ko_macrophage_up,ifng_decomposed_response,ifng_feedback,relay,200,197,
atomic__ifng_decomposed_response__ifng_feedback__gse411_unstim_vs_400min_il6_stim_socs3_ko_macrophage_dn,ifng_decomposed_response,ifng_feedback,relay,199,193,
atomic__ifng_decomposed_response__ifng_feedback__gse411_unstim_vs_400min_il6_stim_socs3_ko_macrophage_up,ifng_decomposed_response,ifng_feedback,relay,199,196,
atomic__ifng_decomposed_response__ifng_feedback__gse411_wt_vs_socs3_ko_macrophage_dn,ifng_decomposed_response,ifng_feedback,relay,200,193,
atomic__ifng_decomposed_response__ifng_feedback__gse411_wt_vs_socs3_ko_macrophage_il6_stim_100min_dn,ifng_decomposed_response,ifng_feedback,relay,200,197,
atomic__ifng_decomposed_response__ifng_feedback__gse411_wt_vs_socs3_ko_macrophage_il6_stim_100min_up,ifng_decomposed_response,ifng_feedback,relay,200,198,
atomic__ifng_decomposed_response__ifng_feedback__gse411_wt_vs_socs3_ko_macrophage_il6_stim_400min_dn,ifng_decomposed_response,ifng_feedback,relay,200,198,
atomic__ifng_decomposed_response__ifng_feedback__gse411_wt_vs_socs3_ko_macrophage_il6_stim_400min_up,ifng_decomposed_response,ifng_feedback,relay,200,197,
atomic__ifng_decomposed_response__ifng_feedback__gse411_wt_vs_socs3_ko_macrophage_up,ifng_decomposed_response,ifng_feedback,relay,200,200,
atomic__ifng_decomposed_response__ifng_stat_irf_targets__reactome_activation_of_irf3_irf7_mediated_by_tbk1_ikk_ikbke,ifng_decomposed_response,ifng_stat_irf_targets,target_footprint,18,18,
atomic__ifng_decomposed_response__ifng_stat_irf_targets__reactome_gbp_mediated_host_defense,ifng_decomposed_response,ifng_stat_irf_targets,target_footprint,14,14,
atomic__ifng_decomposed_response__ifng_stat_irf_targets__reactome_interferon_gamma_signaling,ifng_decomposed_response,ifng_stat_irf_targets,target_footprint,98,94,
atomic__ifng_decomposed_response__ifng_stat_irf_targets__reactome_isg15_antiviral_mechanism,ifng_decomposed_response,ifng_stat_irf_targets,target_footprint,74,73,
atomic__ifng_decomposed_response__ifng_stat_irf_targets__reactome_regulation_of_tbk1_ikk_ikbke_mediated_activation_of_irf3_irf7,ifng_decomposed_response,ifng_stat_irf_targets,target_footprint,14,14,
atomic__ifng_decomposed_response__ifng_stat_irf_targets__reactome_regulation_of_tbk1_ikk_mediated_activation_of_irf3_irf7_upon_t_a1a27350,ifng_decomposed_response,ifng_stat_irf_targets,target_footprint,11,11,
atomic__ifng_decomposed_response__ifng_stat_irf_targets__reactome_ticam1_dependent_activation_of_irf3_irf7,ifng_decomposed_response,ifng_stat_irf_targets,target_footprint,13,13,
atomic__ifng_decomposed_response__ifng_stat_irf_targets__reactome_traf6_mediated_irf7_activation,ifng_decomposed_response,ifng_stat_irf_targets,target_footprint,30,29,
atomic__ifng_decomposed_response__ifng_stat_irf_targets__reactome_traf6_mediated_irf7_activation_in_tlr7_8_or_9_signaling,ifng_decomposed_response,ifng_stat_irf_targets,target_footprint,13,13,
atomic__ifng_decomposed_response__ifng_stat_irf_targets__gse24972_marginal_zone_bcell_vs_follicular_bcell_irf8_ko_dn,ifng_decomposed_response,ifng_stat_irf_targets,target_footprint,199,193,
atomic__ifng_decomposed_response__ifng_stat_irf_targets__gse24972_marginal_zone_bcell_vs_follicular_bcell_irf8_ko_up,ifng_decomposed_response,ifng_stat_irf_targets,target_footprint,200,198,
atomic__ifng_decomposed_response__ifng_stat_irf_targets__gse24972_wt_vs_irf8_ko_marginal_zone_spleen_bcell_dn,ifng_decomposed_response,ifng_stat_irf_targets,target_footprint,199,194,
atomic__ifng_decomposed_response__ifng_stat_irf_targets__gse24972_wt_vs_irf8_ko_marginal_zone_spleen_bcell_up,ifng_decomposed_response,ifng_stat_irf_targets,target_footprint,200,196,
atomic__ifng_decomposed_response__ifng_stat_irf_targets__gse24972_wt_vs_irf8_ko_spleen_follicular_bcell_dn,ifng_decomposed_response,ifng_stat_irf_targets,target_footprint,200,200,
atomic__ifng_decomposed_response__ifng_stat_irf_targets__gse24972_wt_vs_irf8_ko_spleen_follicular_bcell_up,ifng_decomposed_response,ifng_stat_irf_targets,target_footprint,197,194,
atomic__ifng_decomposed_response__ifng_stat_irf_targets__gse40666_stat1_ko_vs_stat4_ko_cd8_tcell_dn,ifng_decomposed_response,ifng_stat_irf_targets,target_footprint,182,167,
atomic__ifng_decomposed_response__ifng_stat_irf_targets__gse40666_stat1_ko_vs_stat4_ko_cd8_tcell_up,ifng_decomposed_response,ifng_stat_irf_targets,target_footprint,199,193,
atomic__ifng_decomposed_response__ifng_stat_irf_targets__gse40666_stat1_ko_vs_stat4_ko_cd8_tcell_with_ifna_stim_90min_dn,ifng_decomposed_response,ifng_stat_irf_targets,target_footprint,184,170,
atomic__ifng_decomposed_response__ifng_stat_irf_targets__gse40666_stat1_ko_vs_stat4_ko_cd8_tcell_with_ifna_stim_90min_up,ifng_decomposed_response,ifng_stat_irf_targets,target_footprint,195,188,
atomic__ifng_decomposed_response__ifng_stat_irf_targets__gse40666_untreated_vs_ifna_stim_stat1_ko_cd8_tcell_90min_dn,ifng_decomposed_response,ifng_stat_irf_targets,target_footprint,198,194,
atomic__ifng_decomposed_response__ifng_stat_irf_targets__gse40666_untreated_vs_ifna_stim_stat1_ko_cd8_tcell_90min_up,ifng_decomposed_response,ifng_stat_irf_targets,target_footprint,193,183,
atomic__ifng_decomposed_response__ifng_stat_irf_targets__gse40666_wt_vs_stat1_ko_cd8_tcell_dn,ifng_decomposed_response,ifng_stat_irf_targets,target_footprint,200,197,
atomic__ifng_decomposed_response__ifng_stat_irf_targets__gse40666_wt_vs_stat1_ko_cd8_tcell_up,ifng_decomposed_response,ifng_stat_irf_targets,target_footprint,200,198,
atomic__ifng_decomposed_response__ifng_stat_irf_targets__gse40666_wt_vs_stat1_ko_cd8_tcell_with_ifna_stim_90min_dn,ifng_decomposed_response,ifng_stat_irf_targets,target_footprint,200,197,
atomic__ifng_decomposed_response__ifng_stat_irf_targets__gse40666_wt_vs_stat1_ko_cd8_tcell_with_ifna_stim_90min_up,ifng_decomposed_response,ifng_stat_irf_targets,target_footprint,199,194,
atomic__ifng_decomposed_response__ifng_stat_irf_targets__ifn_gamma,ifng_decomposed_response,ifng_stat_irf_targets,target_footprint,4078,3686,very_broad_gt_1000
atomic__ifng_decomposed_response__ifng_stat_irf_targets__ifn_gamma,ifng_decomposed_response,ifng_stat_irf_targets,target_footprint,3578,3328,very_broad_gt_1000
atomic__mitochondrial_metabolism_fine__mitochondrial_energy_metabolism__reactome_aerobic_respiration_and_respiratory_electron_transport,mitochondrial_metabolism_fine,mitochondrial_energy_metabolism,cell_state,261,256,
atomic__mitochondrial_metabolism_fine__mitochondrial_energy_metabolism__reactome_beta_oxidation_of_very_long_chain_fatty_acids,mitochondrial_metabolism_fine,mitochondrial_energy_metabolism,cell_state,11,11,
atomic__mitochondrial_metabolism_fine__mitochondrial_energy_metabolism__reactome_fatty_acids,mitochondrial_metabolism_fine,mitochondrial_energy_metabolism,cell_state,15,15,
atomic__mitochondrial_metabolism_fine__mitochondrial_energy_metabolism__reactome_fatty_acid_metabolism,mitochondrial_metabolism_fine,mitochondrial_energy_metabolism,cell_state,175,174,
atomic__mitochondrial_metabolism_fine__mitochondrial_energy_metabolism__reactome_fatty_acyl_coa_biosynthesis,mitochondrial_metabolism_fine,mitochondrial_energy_metabolism,cell_state,37,37,
atomic__mitochondrial_metabolism_fine__mitochondrial_energy_metabolism__reactome_free_fatty_acids_regulate_insulin_secretion,mitochondrial_metabolism_fine,mitochondrial_energy_metabolism,cell_state,11,11,
atomic__mitochondrial_metabolism_fine__mitochondrial_energy_metabolism__reactome_mitochondrial_biogenesis,mitochondrial_metabolism_fine,mitochondrial_energy_metabolism,cell_state,95,93,
atomic__mitochondrial_metabolism_fine__mitochondrial_energy_metabolism__reactome_mitochondrial_calcium_ion_transport,mitochondrial_metabolism_fine,mitochondrial_energy_metabolism,cell_state,23,22,
atomic__mitochondrial_metabolism_fine__mitochondrial_energy_metabolism__reactome_mitochondrial_fatty_acid_beta_oxidation,mitochondrial_metabolism_fine,mitochondrial_energy_metabolism,cell_state,37,37,
atomic__mitochondrial_metabolism_fine__mitochondrial_energy_metabolism__reactome_mitochondrial_fatty_acid_beta_oxidation_of_saturated_fatty_acids,mitochondrial_metabolism_fine,mitochondrial_energy_metabolism,cell_state,11,11,
atomic__mitochondrial_metabolism_fine__mitochondrial_energy_metabolism__reactome_mitochondrial_iron_sulfur_cluster_biogenesis,mitochondrial_metabolism_fine,mitochondrial_energy_metabolism,cell_state,13,13,
atomic__mitochondrial_metabolism_fine__mitochondrial_energy_metabolism__reactome_mitochondrial_mrna_modification,mitochondrial_metabolism_fine,mitochondrial_energy_metabolism,cell_state,11,11,
atomic__mitochondrial_metabolism_fine__mitochondrial_energy_metabolism__reactome_mitochondrial_protein_degradation,mitochondrial_metabolism_fine,mitochondrial_energy_metabolism,cell_state,98,98,
atomic__mitochondrial_metabolism_fine__mitochondrial_energy_metabolism__reactome_mitochondrial_protein_import,mitochondrial_metabolism_fine,mitochondrial_energy_metabolism,cell_state,65,64,
atomic__mitochondrial_metabolism_fine__mitochondrial_energy_metabolism__reactome_mitochondrial_rna_degradation,mitochondrial_metabolism_fine,mitochondrial_energy_metabolism,cell_state,12,10,
atomic__mitochondrial_metabolism_fine__mitochondrial_energy_metabolism__reactome_mitochondrial_translation,mitochondrial_metabolism_fine,mitochondrial_energy_metabolism,cell_state,115,111,
atomic__mitochondrial_metabolism_fine__mitochondrial_energy_metabolism__reactome_mitochondrial_translation_elongation,mitochondrial_metabolism_fine,mitochondrial_energy_metabolism,cell_state,90,87,
atomic__mitochondrial_metabolism_fine__mitochondrial_energy_metabolism__reactome_mitochondrial_trna_aminoacylation,mitochondrial_metabolism_fine,mitochondrial_energy_metabolism,cell_state,21,18,
atomic__mitochondrial_metabolism_fine__mitochondrial_energy_metabolism__reactome_mitochondrial_unfolded_protein_response_uprmt,mitochondrial_metabolism_fine,mitochondrial_energy_metabolism,cell_state,18,18,
atomic__mitochondrial_metabolism_fine__mitochondrial_energy_metabolism__reactome_respiratory_electron_transport,mitochondrial_metabolism_fine,mitochondrial_energy_metabolism,cell_state,159,157,
atomic__mitochondrial_metabolism_fine__mitochondrial_energy_metabolism__reactome_strand_asynchronous_mitochondrial_dna_replication,mitochondrial_metabolism_fine,mitochondrial_energy_metabolism,cell_state,10,10,
